Metryka,Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień
ml_total,2,22,16,129,211,192,324,210,225,385,144,104
ml_with_lead,1,15,3,75,31,21,55,179,73,65,46,28
ml_without_lead,1,7,13,54,180,171,269,31,152,320,98,76
leads_total,191,204,169,524,380,104,64,133,156,343,52,62
leads_with_deal,28,0,0,0,0,0,0,0,0,0,0,0
leads_with_meeting,46,25,20,31,29,25,20,9,16,12,13,13
deals_total,91,64,68,113,133,75,130,51,76,80,62,60
deals_won,7,3,6,6,15,10,6,8,11,5,6,0
