project_type,source_I_tier,source_II_tier,source_III_tier,N_entered,N_with_meeting,pct_with_meeting,median_days_to_meeting,mean_days_to_meeting,N_to_deal,pct_to_deal,N_won,pct_won_of_entered,win_rate_of_deals,avg_ojp,sum_ankiety,avg_ojp_weighted
PreSales,Inbound,Szkolenie,Szkolenie,1.0,0.0,0.0,,,1.0,100.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Telefon na biuro,Telefon na biuro,45.0,4.0,8.89,4.0,4.0,40.0,88.89,13.0,28.89,32.5,3.33,4.0,3.33
PreSales,Inbound,Telefon na infolinie,Telefon na infolinie,4.0,0.0,0.0,3.0,3.0,3.0,75.0,1.0,25.0,33.33,,0.0,
PreSales,Inbound,Webinar,Webinar,4.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Webinary medidesk,20250219 - AI w służbie zdrowia,1.0,0.0,0.0,,,1.0,100.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Webinary medidesk,20250319 - Jak rozwijać placówkę,5.0,2.0,40.0,43.5,43.5,1.0,20.0,1.0,20.0,100.0,,0.0,
PreSales,Inbound,Webinary medidesk,20250409 - Webinar Marafiki,2.0,1.0,50.0,12.0,12.0,1.0,50.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Webinary medidesk,20250514 - Webinar Marafiki,1.0,0.0,0.0,,,1.0,100.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Webinary medidesk,20250604 - Pozycjonowanie i social media,1.0,1.0,100.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Webinary medidesk,20250612 - Chirurgiczny lejek online,2.0,0.0,0.0,,,1.0,50.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,Webinary medidesk,20250625 - Komunikacja z pokoleniem Z,3.0,1.0,33.33,27.0,27.0,2.0,66.67,1.0,33.33,50.0,,0.0,
PreSales,Inbound,Webinary medidesk,20250710 - Medidesk 3.0,3.0,0.0,0.0,,,3.0,100.0,0.0,0.0,0.0,,0.0,
PreSales,Inbound,brak danych,brak danych,7.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0
PreSales,Outbound,Akwizycja telefoniczna,Akwizycja telefoniczna,1901.0,152.0,8.0,20.0,39.58,446.0,23.46,44.0,2.31,9.87,3.31,70.0,3.31
PreSales,Outbound,Akwizycja telefoniczna po konferencji,Akwizycja telefoniczna po konferencji,3.0,0.0,0.0,,,2.0,66.67,1.0,33.33,50.0,,0.0,
PreSales,Outbound,Akwizycja telefoniczna po webinarze,Akwizycja telefoniczna po webinarze,15.0,3.0,20.0,9.0,33.33,7.0,46.67,0.0,0.0,0.0,2.0,1.0,2.0
PreSales,Outbound,Facebook,Facebook,3.0,0.0,0.0,,,2.0,66.67,0.0,0.0,0.0,,0.0,
PreSales,Outbound,Facebook po pobraniu,Facebook po pobraniu,3.0,1.0,33.33,19.5,19.5,0.0,0.0,0.0,0.0,0.0,,0.0,
PreSales,Outbound,Reinkarnacja,Reinkarnacja,46.0,13.0,28.26,16.0,47.67,13.0,28.26,3.0,6.52,23.08,4.0,6.0,4.0
PreSales,Outbound,brak danych,brak danych,10.0,1.0,10.0,18.0,18.0,1.0,10.0,1.0,10.0,100.0,,1.0,
Sales only,Inbound,Email na biuro,Email na biuro,10.0,0.0,0.0,,,10.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Inbound,Konferencja,202509 AMOZ X,12.0,0.0,0.0,,,12.0,100.0,2.0,16.67,16.67,,0.0,
Sales only,Inbound,Konferencja,202509 AMOZ Xjj,1.0,0.0,0.0,,,1.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Inbound,Konferencja,Konferencja zewnętrzna,7.0,0.0,0.0,,,7.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Inbound,LinkedIn,LinkedIn,2.0,0.0,0.0,,,2.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Inbound,Polecenie,Firma polecająca,14.0,0.0,0.0,,,14.0,100.0,4.0,28.57,28.57,,0.0,
Sales only,Inbound,Polecenie,Partner polecający,4.0,0.0,0.0,,,4.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Inbound,Polecenie,Polecenie,2.0,0.0,0.0,,,2.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Inbound,Polecenie,Pracownik medidesk,12.0,0.0,0.0,,,12.0,100.0,4.0,33.33,33.33,,0.0,
Sales only,Inbound,Strona internetowa medidesk,FB,1.0,0.0,0.0,,,1.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Inbound,Strona internetowa medidesk,Medidesk EDU kontakt,3.0,0.0,0.0,,,3.0,100.0,0.0,0.0,0.0,,0.0,
Sales only,Inbound,Strona internetowa medidesk,Medidesk EDU szkolenia,2.0,0.0,0.0,,,2.0,100.0,0.0,0.0,0.0,,0.0,
